id,formattedAddress,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,subdivision,zoning,lastSaleDate,lastSalePrice,hoa,architectureType,cooling,coolingType,heating,heatingType,exteriorType,fireplace,floorCount,foundationType,garage,garageSpaces,garageType,pool,roomCount,unitCount,viewType
"5500-Nw-2nd-Ave,-Apt-215,-Boca-Raton,-FL-33487","5500 Nw 2nd Ave, Apt 215, Boca Raton, FL 33487",Boca Raton,FL,33487,Palm Beach,26.39927,-80.083009,Condo,2.0,2.0,1200.0,,1970.0,BOCA TEECA CONDOMINIUM,,2024-06-21T00:00:00.000Z,195000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"17455-Barbara-Dr,-Fort-Myers,-FL-33967","17455 Barbara Dr, Fort Myers, FL 33967",Fort Myers,FL,33967,Lee,26.482837,-81.831083,Multi-Family,3.0,2.0,986.0,3747.0,1983.0,SCP NORTH ADDITION,RM-2,2024-06-21T00:00:00.000Z,330000,,Duplex,True,Central,True,Forced Air,Stucco,False,2.0,,False,,,False,,1.0,
"4126-Belair-Ln,-Apt-B7,-Naples,-FL-34103","4126 Belair Ln, Apt B7, Naples, FL 34103",Naples,FL,34103,Collier,26.199043,-81.804176,Condo,2.0,2.0,1195.0,,1979.0,PARK PLACE OF NAPLES A CONDOMINIUM,,2024-06-21T00:00:00.000Z,410000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
"55-Sw-9th-St,-Apt-2608,-Miami,-FL-33130","55 Sw 9th St, Apt 2608, Miami, FL 33130",Miami,FL,33130,Miami-Dade,25.765663,-80.194201,Condo,2.0,2.0,788.0,,2017.0,BRICKELL HEIGHTS WEST CONDO,6408:RAPID TRANS-HI DENS,2024-06-21T00:00:00.000Z,700000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,,
"8053-Winthrop-Dr,-Port-Richey,-FL-34668","8053 Winthrop Dr, Port Richey, FL 34668",Port Richey,FL,34668,Pasco,28.301504,-82.681047,Single Family,3.0,1.0,840.0,5525.0,1980.0,REGENCY PARK,00R3,2024-06-21T00:00:00.000Z,197000,,,True,Central,True,Forced Air,Concrete Block,False,1.0,,True,1.0,Attached,False,,1.0,
"86112-Preserve-Pl,-Yulee,-FL-32097","86112 Preserve Pl, Yulee, FL 32097",Yulee,FL,32097,Nassau,30.618243,-81.592459,Single Family,3.0,2.0,1676.0,6534.0,2018.0,HIDEAWAY PHASE 1A,,2024-06-21T00:00:00.000Z,372000,,,True,Central,True,Forced Air,Other,False,1.0,,True,,Garage,False,,1.0,
"1324-Lake-Shore-Blvd,-Jacksonville,-FL-32205","1324 Lake Shore Blvd, Jacksonville, FL 32205",Jacksonville,FL,32205,Duval,30.298228,-81.739319,Single Family,4.0,2.0,1461.0,4204.0,2013.0,CEDARHURST,RMD-A,2024-06-21T00:00:00.000Z,233000,,,True,Central,True,Forced Air,Brick Veneer,False,1.0,,False,,,False,,1.0,
"14295-Vindel-Cir,-Fort-Myers,-FL-33905","14295 Vindel Cir, Fort Myers, FL 33905",Fort Myers,FL,33905,Lee,26.690148,-81.722407,Single Family,4.0,3.0,2032.0,8233.0,2019.0,PORTICO,RPD,2024-06-21T00:00:00.000Z,375000,,Ranch,True,Central,True,Forced Air,Stucco,False,1.0,,True,,Garage,False,,,
"1476-Pine-Marsh-Loop,-Saint-Cloud,-FL-34771","1476 Pine Marsh Loop, Saint Cloud, FL 34771",Saint Cloud,FL,34771,Osceola,28.307522,-81.230522,Single Family,4.0,2.5,2414.0,7405.0,2013.0,NOVA POINTE (PARK),,2024-06-21T00:00:00.000Z,483000,,,True,Package,True,,Stucco,False,2.0,Footing,True,,Garage,False,,,
"3715-Village-Dr,-Unit-C,-Delray-Beach,-FL-33445","3715 Village Dr, Unit C, Delray Beach, FL 33445",Delray Beach,FL,33445,Palm Beach,26.46894,-80.106714,Single Family,3.0,3.0,1326.0,1333.0,1988.0,VILLAGE DE PROVENCE,,2024-06-21T00:00:00.000Z,355000,,,False,,False,,,False,2.0,,False,,,False,,1.0,
"10777-W-Sample-Rd,-Apt-315,-Coral-Springs,-FL-33065","10777 W Sample Rd, Apt 315, Coral Springs, FL 33065",Coral Springs,FL,33065,Broward,26.273614,-80.269674,Condo,2.0,2.0,1300.0,242899.0,1976.0,COUNTRY CLUB TOWERS OF CORAL SPRINGS,RM-30,2024-06-21T00:00:00.000Z,175000,,Condo / Apartment,False,,False,,,False,,,False,,,False,,1.0,
